2022-08-05|22:49:03.197|main      |backend-department-service,,|DEBUG| ontext.logging.ClasspathLoggingApplicationListener| Application started with classpath: unknown
2022-08-05|22:49:11.833|main      |backend-department-service,,|DEBUG| g.springframework.jdbc.datasource.init.ScriptUtils| 70 returned as update count for SQL: INSERT INTO `dept_emp` VALUES (10001,'1005','2020-12-15','2020-08-11'), (10002,'1007','2020-12-15','2020-08-11'), (10003,'1004','2020-12-15','2020-08-11'), (10004,'1004','2020-12-15','2020-08-11'), (10005,'1003','2020-12-15','2020-08-11'), (10006,'1005','2020-12-15','2020-08-11'), (10007,'1008','2020-12-15','2020-08-11'), (10008,'1005','2020-12-15','2020-08-11'), (10009,'1006','2020-12-15','2020-08-11'), (10010,'1004','2020-12-15','2020-08-11'), (10010,'1006','2020-12-15','2020-08-11'), (10011,'1009','2020-12-15','2020-08-11'), (10012,'1005','2020-12-15','2020-08-11'), (10013,'1003','2020-12-15','2020-08-11'), (10014,'1005','2020-12-15','2020-08-11'), (10015,'1008','2020-12-15','2020-08-11'), (10016,'1007','2020-12-15','2020-08-11'), (10017,'1001','2020-12-15','2020-08-11'), (10018,'1004','2020-12-15','2020-08-11'), (10018,'1005','2020-12-15','2020-08-11'), (10019,'1008','2020-12-15','2020-08-11'), (10020,'1004','2020-12-15','2020-08-11'), (10021,'1005','2020-12-15','2020-08-11'), (10022,'1005','2020-12-15','2020-08-11'), (10023,'1005','2020-12-15','2020-08-11'), (10024,'1004','2020-12-15','2020-08-11'), (10025,'1005','2020-12-15','2020-08-11'), (10026,'1004','2020-12-15','2020-08-11'), (10027,'1005','2020-12-15','2020-08-11'), (10028,'1005','2020-12-15','2020-08-11'), (10029,'1004','2020-12-15','2020-08-11'), (10029,'1006','2020-12-15','2020-08-11'), (10030,'1004','2020-12-15','2020-08-11'), (10031,'1005','2020-12-15','2020-08-11'), (10032,'1004','2020-12-15','2020-08-11'), (10033,'1006','2020-12-15','2020-08-11'), (10034,'1007','2020-12-15','2020-08-11'), (10035,'1004','2020-12-15','2020-08-11'), (10036,'1003','2020-12-15','2020-08-11'), (10037,'1005','2020-12-15','2020-08-11'), (10038,'1009','2020-12-15','2020-08-11'), (10039,'1003','2020-12-15','2020-08-11'), (10040,'1005','2020-12-15','2020-08-11'), (10040,'1008','2020-12-15','2020-08-11'), (10041,'1007','2020-12-15','2020-08-11'), (10042,'1002','2020-12-15','2020-08-11'), (10043,'1005','2020-12-15','2020-08-11'), (10044,'1004','2020-12-15','2020-08-11'), (10045,'1004','2020-12-15','2020-08-11'), (10046,'1008','2020-12-15','2020-08-11'), (10047,'1004','2020-12-15','2020-08-11'), (10048,'1005','2020-12-15','2020-08-11'), (10049,'1009','2020-12-15','2020-08-11'), (10050,'1002','2020-12-15','2020-08-11'), (10050,'1007','2020-12-15','2020-08-11'), (10051,'1004','2020-12-15','2020-08-11'), (10052,'1008','2020-12-15','2020-08-11'), (10053,'1007','2020-12-15','2020-08-11'), (10054,'1003','2020-12-15','2020-08-11'), (10055,'1001','2020-12-15','2020-08-11'), (10056,'1005','2020-12-15','2020-08-11'), (10057,'1005','2020-12-15','2020-08-11'), (10058,'1001','2020-12-15','2020-08-11'), (10059,'1002','2020-12-15','2020-08-11'), (10060,'1007','2020-12-15','2020-08-11'), (10060,'1009','2020-12-15','2020-08-11'), (10061,'1007','2020-12-15','2020-08-11'), (10062,'1005','2020-12-15','2020-08-11'), (10063,'1004','2020-12-15','2020-08-11'), (10064,'1008','2020-12-15','2020-08-11')
2022-08-05|22:49:11.839|main      |backend-department-service,,|DEBUG| g.springframework.jdbc.datasource.init.ScriptUtils| 24 returned as update count for SQL: INSERT INTO `dept_manager` VALUES (10002,'1001','2020-11-23','2011-12-21'), (10004,'1001','2020-11-23','2011-12-21'), (10005,'1002','2020-11-23','2011-12-21'), (10006,'1002','2020-11-23','2011-12-21'), (10007,'1003','2020-11-23','2011-12-21'), (10008,'1003','2020-11-23','2011-12-21'), (10009,'1004','2020-11-23','2011-12-21'), (10010,'1004','2020-11-23','2011-12-21'), (10011,'1004','2020-11-23','2011-12-21'), (10012,'1004','2020-11-23','2011-12-21'), (10013,'1005','2020-11-23','2011-12-21'), (10014,'1005','2020-11-23','2011-12-21'), (10015,'1006','2020-11-23','2011-12-21'), (10016,'1006','2020-11-23','2011-12-21'), (10017,'1006','2020-11-23','2011-12-21'), (10018,'1006','2020-11-23','2011-12-21'), (10019,'1007','2020-11-23','2011-12-21'), (10020,'1007','2020-11-23','2011-12-21'), (10021,'1008','2020-11-23','2011-12-21'), (10022,'1008','2020-11-23','2011-12-21'), (10023,'1009','2020-11-23','2011-12-21'), (10024,'1009','2020-11-23','2011-12-21'), (10025,'1009','2020-11-23','2011-12-21'), (10026,'1009','2020-11-23','2011-12-21')
2022-08-05|22:49:11.878|main      |backend-department-service,,|DEBUG| g.springframework.jdbc.datasource.init.ScriptUtils| 100 returned as update count for SQL: INSERT INTO `titles` VALUES (10001,'Senior Engineer','2005-12-30','2002-04-13'), (10002,'Staff','2005-12-30','2002-04-13'), (10003,'Senior Engineer','2005-12-30','2002-04-13'), (10004,'Engineer','2005-12-30','2002-04-13'), (10004,'Senior Engineer','2005-12-30','2002-04-13'), (10005,'Senior Staff','2005-12-30','2002-04-13'), (10005,'Staff','2005-12-30','2002-04-13'), (10006,'Senior Engineer','2005-12-30','2002-04-13'), (10007,'Senior Staff','2005-12-30','2002-04-13'), (10007,'Staff','2005-12-30','2002-04-13'), (10008,'Assistant Engineer','2005-12-30','2002-04-13'), (10009,'Assistant Engineer','2005-12-30','2002-04-13'), (10009,'Engineer','2005-12-30','2002-04-13'), (10009,'Senior Engineer','2005-12-30','2002-04-13'), (10010,'Engineer','2005-12-30','2002-04-13'), (10011,'Staff','2005-12-30','2002-04-13'), (10012,'Engineer','2005-12-30','2002-04-13'), (10012,'Senior Engineer','2005-12-30','2002-04-13'), (10013,'Senior Staff','2005-12-30','2002-04-13'), (10014,'Engineer','2005-12-30','2002-04-13'), (10015,'Senior Staff','2005-12-30','2002-04-13'), (10016,'Staff','2005-12-30','2002-04-13'), (10017,'Senior Staff','2005-12-30','2002-04-13'), (10017,'Staff','2005-12-30','2002-04-13'), (10018,'Engineer','2005-12-30','2002-04-13'), (10018,'Senior Engineer','2005-12-30','2002-04-13'), (10019,'Staff','2005-12-30','2002-04-13'), (10020,'Engineer','2005-12-30','2002-04-13'), (10021,'Technique Leader','2005-12-30','2002-04-13'), (10022,'Engineer','2005-12-30','2002-04-13'), (10023,'Engineer','2005-12-30','2002-04-13'), (10024,'Assistant Engineer','2005-12-30','2002-04-13'), (10025,'Technique Leader','2005-12-30','2002-04-13'), (10026,'Engineer','2005-12-30','2002-04-13'), (10026,'Senior Engineer','2005-12-30','2002-04-13'), (10027,'Engineer','2005-12-30','2002-04-13'), (10027,'Senior Engineer','2005-12-30','2002-04-13'), (10028,'Engineer','2005-12-30','2002-04-13'), (10029,'Engineer','2005-12-30','2002-04-13'), (10029,'Senior Engineer','2005-12-30','2002-04-13'), (10030,'Engineer','2005-12-30','2002-04-13'), (10030,'Senior Engineer','2005-12-30','2002-04-13'), (10031,'Engineer','2005-12-30','2002-04-13'), (10031,'Senior Engineer','2005-12-30','2002-04-13'), (10032,'Engineer','2005-12-30','2002-04-13'), (10032,'Senior Engineer','2005-12-30','2002-04-13'), (10033,'Technique Leader','2005-12-30','2002-04-13'), (10034,'Staff','2005-12-30','2002-04-13'), (10035,'Engineer','2005-12-30','2002-04-13'), (10035,'Senior Engineer','2005-12-30','2002-04-13'), (10036,'Senior Staff','2005-12-30','2002-04-13'), (10037,'Engineer','2005-12-30','2002-04-13'), (10037,'Senior Engineer','2005-12-30','2002-04-13'), (10038,'Senior Staff','2005-12-30','2002-04-13'), (10038,'Staff','2005-12-30','2002-04-13'), (10039,'Senior Staff','2005-12-30','2002-04-13'), (10039,'Staff','2005-12-30','2002-04-13'), (10040,'Engineer','2005-12-30','2002-04-13'), (10040,'Senior Engineer','2005-12-30','2002-04-13'), (10041,'Senior Staff','2005-12-30','2002-04-13'), (10041,'Staff','2005-12-30','2002-04-13'), (10042,'Senior Staff','2005-12-30','2002-04-13'), (10042,'Staff','2005-12-30','2002-04-13'), (10043,'Engineer','2005-12-30','2002-04-13'), (10043,'Senior Engineer','2005-12-30','2002-04-13'), (10044,'Technique Leader','2005-12-30','2002-04-13'), (10045,'Engineer','2005-12-30','2002-04-13'), (10046,'Senior Staff','2005-12-30','2002-04-13'), (10046,'Staff','2005-12-30','2002-04-13'), (10047,'Engineer','2005-12-30','2002-04-13'), (10047,'Senior Engineer','2005-12-30','2002-04-13'), (10048,'Engineer','2005-12-30','2002-04-13'), (10049,'Senior Staff','2005-12-30','2002-04-13'), (10049,'Staff','2005-12-30','2002-04-13'), (10050,'Senior Staff','2005-12-30','2002-04-13'), (10050,'Staff','2005-12-30','2002-04-13'), (10051,'Engineer','2005-12-30','2002-04-13'), (10051,'Senior Engineer','2005-12-30','2002-04-13'), (10052,'Senior Staff','2005-12-30','2002-04-13'), (10052,'Staff','2005-12-30','2002-04-13'), (10053,'Senior Staff','2005-12-30','2002-04-13'), (10054,'Senior Staff','2005-12-30','2002-04-13'), (10054,'Staff','2005-12-30','2002-04-13'), (10055,'Staff','2005-12-30','2002-04-13'), (10056,'Engineer','2005-12-30','2002-04-13'), (10056,'Senior Engineer','2005-12-30','2002-04-13'), (10057,'Engineer','2005-12-30','2002-04-13'), (10057,'Senior Engineer','2005-12-30','2002-04-13'), (10058,'Senior Staff','2005-12-30','2002-04-13'), (10059,'Senior Staff','2005-12-30','2002-04-13'), (10060,'Senior Staff','2005-12-30','2002-04-13'), (10060,'Staff','2005-12-30','2002-04-13'), (10061,'Senior Staff','2005-12-30','2002-04-13'), (10062,'Engineer','2005-12-30','2002-04-13'), (10062,'Senior Engineer','2005-12-30','2002-04-13'), (10063,'Senior Engineer','2005-12-30','2002-04-13'), (10064,'Staff','2005-12-30','2002-04-13'), (10065,'Engineer','2005-12-30','2002-04-13'), (10066,'Assistant Engineer','2005-12-30','2002-04-13'), (10066,'Engineer','2005-12-30','2002-04-13')
2022-08-05|22:49:11.881|main      |backend-department-service,,|DEBUG| g.springframework.jdbc.datasource.init.ScriptUtils| 25 returned as update count for SQL: INSERT INTO `salaries` VALUES (10001,60117,'2002-03-11','2005-01-12'), (10002,62102,'2002-03-11','2005-01-12'), (10003,66074,'2002-03-11','2005-01-12'), (10004,66596,'2002-03-11','2005-01-12'), (10005,66961,'2002-03-11','2005-01-12'), (10006,71046,'2002-03-11','2005-01-12'), (10007,74333,'2002-03-11','2005-01-12'), (10008,75286,'2002-03-11','2005-01-12'), (10009,75994,'2002-03-11','2005-01-12'), (10011,76884,'2002-03-11','2005-01-12'), (10012,80013,'2002-03-11','2005-01-12'), (10013,81025,'2002-03-11','2005-01-12'), (10014,81097,'2002-03-11','2005-01-12'), (10015,84917,'2002-03-11','2005-01-12'), (10016,85112,'2002-03-11','2005-01-12'), (10017,85097,'2002-03-11','2005-01-12'), (10018,88958,'2002-03-11','2005-01-12'), (10019,65828,'2002-03-11','2005-01-12'), (10020,65909,'2002-03-11','2005-01-12'), (10022,67534,'2002-03-11','2005-01-12'), (10021,69366,'2002-03-11','2005-01-12'), (10023,71963,'2002-03-11','2005-01-12'), (10024,72527,'2002-03-11','2005-01-12'), (10025,40006,'2002-03-11','2005-01-12'), (10010,43616,'2002-03-11','2005-01-12')
2022-08-05|22:49:11.882|main      |backend-department-service,,|DEBUG| g.springframework.jdbc.datasource.init.ScriptUtils| Executed SQL script from URL [file:/C:/ems_workspace/employee-management-system/backend-department-service/target/classes/data.sql] in 198 ms.
2022-08-05|22:49:11.883|main      |backend-department-service,,|DEBUG| k.beans.factory.support.DefaultListableBeanFactory| Creating shared instance of singleton bean 'entityManagerFactory'
2022-08-05|22:49:11.884|main      |backend-department-service,,|DEBUG| k.beans.factory.support.DefaultListableBeanFactory| Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.orm.jpa.HibernateJpaConfiguration'
2022-08-05|22:49:11.885|main      |backend-department-service,,|DEBUG| ork.core.LocalVariableTableParameterNameDiscoverer| Cannot find '.class' file for class [class org.springframework.boot.autoconfigure.orm.jpa.HibernateJpaConfiguration$$EnhancerBySpringCGLIB$$ab86966e] - unable to determine constructor/method parameter names
2022-08-05|22:49:11.891|main      |backend-department-service,,|DEBUG| k.beans.factory.support.DefaultListableBeanFactory| Creating shared instance of singleton bean 'spring.jpa-org.springframework.boot.autoconfigure.orm.jpa.JpaProperties'
2022-08-05|22:49:11.902|main      |backend-department-service,,|DEBUG| k.beans.factory.support.DefaultListableBeanFactory| Creating shared instance of singleton bean 'spring.jpa.hibernate-org.springframework.boot.autoconfigure.orm.jpa.HibernateProperties'
2022-08-05|22:49:11.907|main      |backend-department-service,,|DEBUG| k.beans.factory.support.DefaultListableBeanFactory| Autowiring by type from bean name 'org.springframework.boot.autoconfigure.orm.jpa.HibernateJpaConfiguration' via constructor to bean named 'dataSource'
2022-08-05|22:49:11.907|main      |backend-department-service,,|DEBUG| k.beans.factory.support.DefaultListableBeanFactory| Autowiring by type from bean name 'org.springframework.boot.autoconfigure.orm.jpa.HibernateJpaConfiguration' via constructor to bean named 'spring.jpa-org.springframework.boot.autoconfigure.orm.jpa.JpaProperties'
2022-08-05|22:49:11.907|main      |backend-department-service,,|DEBUG| k.beans.factory.support.DefaultListableBeanFactory| Autowiring by type from bean name 'org.springframework.boot.autoconfigure.orm.jpa.HibernateJpaConfiguration' via constructor to bean named 'org.springframework.beans.factory.support.DefaultListableBeanFactory@61d01788'
2022-08-05|22:49:11.907|main      |backend-department-service,,|DEBUG| k.beans.factory.support.DefaultListableBeanFactory| Autowiring by type from bean name 'org.springframework.boot.autoconfigure.orm.jpa.HibernateJpaConfiguration' via constructor to bean named 'spring.jpa.hibernate-org.springframework.boot.autoconfigure.orm.jpa.HibernateProperties'
2022-08-05|22:49:11.912|main      |backend-department-service,,|DEBUG| k.beans.factory.support.DefaultListableBeanFactory| Creating shared instance of singleton bean 'platformTransactionManagerCustomizers'
2022-08-05|22:49:11.913|main      |backend-department-service,,|DEBUG| k.beans.factory.support.DefaultListableBeanFactory| Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.transaction.TransactionAutoConfiguration'
2022-08-05|22:49:11.923|main      |backend-department-service,,|DEBUG| k.beans.factory.support.DefaultListableBeanFactory| Creating shared instance of singleton bean 'spring.transaction-org.springframework.boot.autoconfigure.transaction.TransactionProperties'
2022-08-05|22:49:11.941|main      |backend-department-service,,|DEBUG| k.beans.factory.support.DefaultListableBeanFactory| Creating shared instance of singleton bean 'hikariPoolDataSourceMetadataProvider'
2022-08-05|22:49:11.954|main      |backend-department-service,,|DEBUG| k.beans.factory.support.DefaultListableBeanFactory| Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.jdbc.metadata.DataSourcePoolMetadataProvidersConfiguration$HikariPoolDataSourceMetadataProviderConfiguration'
2022-08-05|22:49:11.997|main      |backend-department-service,,|DEBUG| k.beans.factory.support.DefaultListableBeanFactory| Creating shared instance of singleton bean 'entityManagerFactoryBuilder'
2022-08-05|22:49:12.002|main      |backend-department-service,,|DEBUG| k.beans.factory.support.DefaultListableBeanFactory| Creating shared instance of singleton bean 'jpaVendorAdapter'
2022-08-05|22:49:12.083|main      |backend-department-service,,|DEBUG| rg.springframework.jdbc.datasource.DataSourceUtils| Fetching JDBC Connection from DataSource
2022-08-05|22:49:12.087|main      |backend-department-service,,|DEBUG| k.beans.factory.support.DefaultListableBeanFactory| Autowiring by type from bean name 'entityManagerFactoryBuilder' via factory method to bean named 'jpaVendorAdapter'
2022-08-05|22:49:12.098|main      |backend-department-service,,|DEBUG| k.beans.factory.support.DefaultListableBeanFactory| Autowiring by type from bean name 'entityManagerFactory' via factory method to bean named 'entityManagerFactoryBuilder'
2022-08-05|22:49:12.229|main      |backend-department-service,,|DEBUG| ork.orm.jpa.LocalContainerEntityManagerFactoryBean| Building JPA container EntityManagerFactory for persistence unit 'default'
2022-08-05|22:49:15.698|main      |backend-department-service,,| INFO| ork.orm.jpa.LocalContainerEntityManagerFactoryBean| Initialized JPA EntityManagerFactory for persistence unit 'default'
2022-08-05|22:49:15.712|main      |backend-department-service,,|DEBUG| k.beans.factory.support.DefaultListableBeanFactory| Creating shared instance of singleton bean 'departmentEMSApplication'
2022-08-05|22:49:15.716|main      |backend-department-service,,|DEBUG| k.beans.factory.support.DefaultListableBeanFactory| Creating shared instance of singleton bean 'departmentController'
2022-08-05|22:49:15.731|main      |backend-department-service,,|DEBUG| k.beans.factory.support.DefaultListableBeanFactory| Creating shared instance of singleton bean 'departmentRepositoryDAO'
2022-08-05|22:49:15.858|main      |backend-department-service,,|DEBUG| k.beans.factory.support.DefaultListableBeanFactory| Creating shared instance of singleton bean 'jpaMappingContext'
2022-08-05|22:49:15.859|main      |backend-department-service,,|DEBUG| itory.config.JpaMetamodelMappingContextFactoryBean| Initializing JpaMetamodelMappingContext…
2022-08-05|22:49:15.887|main      |backend-department-service,,|DEBUG| itory.config.JpaMetamodelMappingContextFactoryBean| Finished initializing JpaMetamodelMappingContext!
2022-08-05|22:49:15.924|main      |backend-department-service,,|DEBUG| anagerCreator$SharedEntityManagerInvocationHandler| Creating new EntityManager for shared EntityManager invocation
2022-08-05|22:49:16.154|main      |backend-department-service,,|DEBUG| anagerCreator$SharedEntityManagerInvocationHandler| Creating new EntityManager for shared EntityManager invocation
2022-08-05|22:49:16.275|main      |backend-department-service,,|DEBUG| a.repository.core.support.RepositoryFactorySupport| Initializing repository instance for com.online.ems.dao.DepartmentRepositoryDAO…
2022-08-05|22:49:16.311|main      |backend-department-service,,|DEBUG| anagerCreator$SharedEntityManagerInvocationHandler| Creating new EntityManager for shared EntityManager invocation
2022-08-05|22:49:16.382|main      |backend-department-service,,|DEBUG| anagerCreator$SharedEntityManagerInvocationHandler| Creating new EntityManager for shared EntityManager invocation
2022-08-05|22:49:16.406|main      |backend-department-service,,|DEBUG| a.repository.core.support.RepositoryFactorySupport| Finished creation of repository instance for com.online.ems.dao.DepartmentRepositoryDAO.
2022-08-05|22:49:16.417|main      |backend-department-service,,|DEBUG| k.beans.factory.support.DefaultListableBeanFactory| Creating shared instance of singleton bean 'globalExceptionHandler'
2022-08-05|22:49:16.422|main      |backend-department-service,,|DEBUG| k.beans.factory.support.DefaultListableBeanFactory| Creating shared instance of singleton bean 'default.com.online.ems.DepartmentEMSApplication.FeignClientSpecification'
2022-08-05|22:49:16.426|main      |backend-department-service,,|DEBUG| k.beans.factory.support.DefaultListableBeanFactory| Creating shared instance of singleton bean 'backend-zuul-api-gateway-server.FeignClientSpecification'
2022-08-05|22:49:16.427|main      |backend-department-service,,|DEBUG| k.beans.factory.support.DefaultListableBeanFactory| Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.context.PropertyPlaceholderAutoConfiguration'
2022-08-05|22:49:16.428|main      |backend-department-service,,|DEBUG| k.beans.factory.support.DefaultListableBeanFactory| Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.websocket.servlet.WebSocketServletAutoConfiguration'
2022-08-05|22:49:16.430|main      |backend-department-service,,|DEBUG| k.beans.factory.support.DefaultListableBeanFactory| Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.web.servlet.DispatcherServletAutoConfiguration'
2022-08-05|22:49:16.431|main      |backend-department-service,,|DEBUG| k.beans.factory.support.DefaultListableBeanFactory| Creating shared instance of singleton bean 'org.springframework.cloud.netflix.archaius.ArchaiusAutoConfiguration$PropagateEventsConfiguration'
2022-08-05|22:49:16.436|main      |backend-department-service,,|DEBUG| k.beans.factory.support.DefaultListableBeanFactory| Creating shared instance of singleton bean 'org.springframework.cloud.netflix.archaius.ArchaiusAutoConfiguration'
2022-08-05|22:49:16.441|main      |backend-department-service,,|DEBUG| k.beans.factory.support.DefaultListableBeanFactory| Creating shared instance of singleton bean 'configurableEnvironmentConfiguration'
2022-08-05|22:49:16.443|main      |backend-department-service,,|DEBUG| k.beans.factory.support.DefaultListableBeanFactory| Autowiring by type from bean name 'configurableEnvironmentConfiguration' via factory method to bean named 'environment'
2022-08-05|22:49:16.443|main      |backend-department-service,,|DEBUG| k.beans.factory.support.DefaultListableBeanFactory| Autowiring by type from bean name 'configurableEnvironmentConfiguration' via factory method to bean named 'org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@2189e7a7'
2022-08-05|22:49:16.444|main      |backend-department-service,,|DEBUG| k.beans.factory.support.DefaultListableBeanFactory| Creating shared instance of singleton bean 'configurableEnvironmentConfiguration'
2022-08-05|22:49:16.455|main      |backend-department-service,,|DEBUG| framework.core.env.PropertySourcesPropertyResolver| Found key 'spring.application.name' in PropertySource 'configurationProperties' with value of type String
2022-08-05|22:49:16.522|main      |backend-department-service,,|DEBUG| k.beans.factory.support.DefaultListableBeanFactory| Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.task.TaskExecutionAutoConfiguration'
2022-08-05|22:49:16.524|main      |backend-department-service,,|DEBUG| ork.core.LocalVariableTableParameterNameDiscoverer| Cannot find '.class' file for class [class org.springframework.boot.autoconfigure.task.TaskExecutionAutoConfiguration$$EnhancerBySpringCGLIB$$184f6cd5] - unable to determine constructor/method parameter names
2022-08-05|22:49:16.528|main      |backend-department-service,,|DEBUG| k.beans.factory.support.DefaultListableBeanFactory| Creating shared instance of singleton bean 'spring.task.execution-org.springframework.boot.autoconfigure.task.TaskExecutionProperties'
2022-08-05|22:49:16.533|main      |backend-department-service,,|DEBUG| k.beans.factory.support.DefaultListableBeanFactory| Autowiring by type from bean name 'org.springframework.boot.autoconfigure.task.TaskExecutionAutoConfiguration' via constructor to bean named 'spring.task.execution-org.springframework.boot.autoconfigure.task.TaskExecutionProperties'
2022-08-05|22:49:16.534|main      |backend-department-service,,|DEBUG| k.beans.factory.support.DefaultListableBeanFactory| Creating shared instance of singleton bean 'taskExecutorBuilder'
2022-08-05|22:49:16.544|main      |backend-department-service,,|DEBUG| k.beans.factory.support.DefaultListableBeanFactory| Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.validation.ValidationAutoConfiguration'
2022-08-05|22:49:16.548|main      |backend-department-service,,|DEBUG| k.beans.factory.support.DefaultListableBeanFactory| Creating shared instance of singleton bean 'defaultValidator'
2022-08-05|22:49:16.572|main      |backend-department-service,,|DEBUG| k.beans.factory.support.DefaultListableBeanFactory| Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.web.servlet.error.ErrorMvcAutoConfiguration$WhitelabelErrorViewConfiguration'
2022-08-05|22:49:16.577|main      |backend-department-service,,|DEBUG| k.beans.factory.support.DefaultListableBeanFactory| Creating shared instance of singleton bean 'error'
2022-08-05|22:49:16.584|main      |backend-department-service,,|DEBUG| k.beans.factory.support.DefaultListableBeanFactory| Creating shared instance of singleton bean 'beanNameViewResolver'
2022-08-05|22:49:16.589|main      |backend-department-service,,|DEBUG| k.beans.factory.support.DefaultListableBeanFactory| Creating shared instance of singleton bean 'errorAttributes'
2022-08-05|22:49:16.590|main      |backend-department-service,,|DEBUG| k.beans.factory.support.DefaultListableBeanFactory| Creating shared instance of singleton bean 'basicErrorController'
2022-08-05|22:49:16.594|main      |backend-department-service,,|DEBUG| k.beans.factory.support.DefaultListableBeanFactory| Autowiring by type from bean name 'basicErrorController' via factory method to bean named 'errorAttributes'
2022-08-05|22:49:16.597|main      |backend-department-service,,|DEBUG| k.beans.factory.support.DefaultListableBeanFactory| Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.web.servlet.WebMvcAutoConfiguration$WebMvcAutoConfigurationAdapter$FaviconConfiguration'
2022-08-05|22:49:16.598|main      |backend-department-service,,|DEBUG| ork.core.LocalVariableTableParameterNameDiscoverer| Cannot find '.class' file for class [class org.springframework.boot.autoconfigure.web.servlet.WebMvcAutoConfiguration$WebMvcAutoConfigurationAdapter$FaviconConfiguration$$EnhancerBySpringCGLIB$$55ddf7aa] - unable to determine constructor/method parameter names
2022-08-05|22:49:16.601|main      |backend-department-service,,|DEBUG| k.beans.factory.support.DefaultListableBeanFactory| Autowiring by type from bean name 'org.springframework.boot.autoconfigure.web.servlet.WebMvcAutoConfiguration$WebMvcAutoConfigurationAdapter$FaviconConfiguration' via constructor to bean named 'spring.resources-org.springframework.boot.autoconfigure.web.ResourceProperties'
2022-08-05|22:49:16.603|main      |backend-department-service,,|DEBUG| k.beans.factory.support.DefaultListableBeanFactory| Creating shared instance of singleton bean 'faviconHandlerMapping'
2022-08-05|22:49:16.617|main      |backend-department-service,,|DEBUG| k.beans.factory.support.DefaultListableBeanFactory| Creating shared instance of singleton bean 'faviconRequestHandler'
2022-08-05|22:49:16.649|main      |backend-department-service,,|DEBUG| mework.web.servlet.handler.SimpleUrlHandlerMapping| Patterns [/**/favicon.ico] in 'faviconHandlerMapping'
2022-08-05|22:49:16.651|main      |backend-department-service,,|DEBUG| k.beans.factory.support.DefaultListableBeanFactory| Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.web.servlet.WebMvcAutoConfiguration$EnableWebMvcConfiguration'
2022-08-05|22:49:16.653|main      |backend-department-service,,|DEBUG| ork.core.LocalVariableTableParameterNameDiscoverer| Cannot find '.class' file for class [class org.springframework.boot.autoconfigure.web.servlet.WebMvcAutoConfiguration$EnableWebMvcConfiguration$$EnhancerBySpringCGLIB$$f79d247f] - unable to determine constructor/method parameter names
2022-08-05|22:49:16.656|main      |backend-department-service,,|DEBUG| k.beans.factory.support.DefaultListableBeanFactory| Autowiring by type from bean name 'org.springframework.boot.autoconfigure.web.servlet.WebMvcAutoConfiguration$EnableWebMvcConfiguration' via constructor to bean named 'org.springframework.beans.factory.support.DefaultListableBeanFactory@61d01788'
2022-08-05|22:49:16.677|main      |backend-department-service,,|DEBUG| k.beans.factory.support.DefaultListableBeanFactory| Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.web.servlet.WebMvcAutoConfiguration$WebMvcAutoConfigurationAdapter'
2022-08-05|22:49:16.679|main      |backend-department-service,,|DEBUG| ork.core.LocalVariableTableParameterNameDiscoverer| Cannot find '.class' file for class [class org.springframework.boot.autoconfigure.web.servlet.WebMvcAutoConfiguration$WebMvcAutoConfigurationAdapter$$EnhancerBySpringCGLIB$$99a0ef64] - unable to determine constructor/method parameter names
2022-08-05|22:49:16.680|main      |backend-department-service,,|DEBUG| k.beans.factory.support.DefaultListableBeanFactory| Autowiring by type from bean name 'org.springframework.boot.autoconfigure.web.servlet.WebMvcAutoConfiguration$WebMvcAutoConfigurationAdapter' via constructor to bean named 'spring.resources-org.springframework.boot.autoconfigure.web.ResourceProperties'
2022-08-05|22:49:16.681|main      |backend-department-service,,|DEBUG| k.beans.factory.support.DefaultListableBeanFactory| Autowiring by type from bean name 'org.springframework.boot.autoconfigure.web.servlet.WebMvcAutoConfiguration$WebMvcAutoConfigurationAdapter' via constructor to bean named 'spring.mvc-org.springframework.boot.autoconfigure.web.servlet.WebMvcProperties'
2022-08-05|22:49:16.681|main      |backend-department-service,,|DEBUG| k.beans.factory.support.DefaultListableBeanFactory| Autowiring by type from bean name 'org.springframework.boot.autoconfigure.web.servlet.WebMvcAutoConfiguration$WebMvcAutoConfigurationAdapter' via constructor to bean named 'org.springframework.beans.factory.support.DefaultListableBeanFactory@61d01788'
2022-08-05|22:49:16.686|main      |backend-department-service,,|DEBUG| k.beans.factory.support.DefaultListableBeanFactory| Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.orm.jpa.JpaBaseConfiguration$JpaWebConfiguration$JpaWebMvcConfiguration'
